no,username,komentar
78,Jurusan Tanah UB,"b'RT fpub_official ""RT @bpfp_official: Kuliah Tamu MBKM MatKul Budidaya Tanpa Tanah Departemen Agronomi, Registrasi y\xe2\x80\xa6 https://t.co/3Juu2T4RO4'"
79,aaria,b'RT @bemkm_ugm: [MERDEKA BELAJAR: DISORIENTASI TATANAN KEHIDUPAN MAHASISWA SEBAGAI INTELEKTUAL MUDA]\n\nHalo Gadjah Mada dan Nusantara!\nHadirn\xe2\x80\xa6'
80,Ditjen Diktiristek,"b'@melankolisinsid Halo #InsanDikti , untuk verifikasi NISN silakan berkoordinasi dengan panitia MBKM melalui fitur c\xe2\x80\xa6 https://t.co/OW2L5L7nUy'"
81,Dio Lucky Dodianto,"b'RT @bpfp_official: Kuliah Tamu MBKM MatKul Budidaya Tanpa Tanah Departemen Agronomi, Registrasi yuk &gt;&gt; https://t.co/zG22JEku1E https://t.co\xe2\x80\xa6'"
82,gerhana,"b'@collegemenfess skrg udh mulai di normalize g si? karna misal ikut mbkm tu, kan ada bbrp matkul yg emg kudu diambil sbg syarat (?)'"
83,FakultasPertanianUB,"b'RT @bpfp_official: Kuliah Tamu MBKM MatKul Budidaya Tanpa Tanah Departemen Agronomi, Registrasi yuk &gt;&gt; https://t.co/zG22JEku1E https://t.co\xe2\x80\xa6'"
84,nol,b'RT @bemkm_ugm: [MERDEKA BELAJAR: DISORIENTASI TATANAN KEHIDUPAN MAHASISWA SEBAGAI INTELEKTUAL MUDA]\n\nHalo Gadjah Mada dan Nusantara!\nHadirn\xe2\x80\xa6'
85,BudidayaPertanian_UB,"b'Kuliah Tamu MBKM MatKul Budidaya Tanpa Tanah Departemen Agronomi, Registrasi yuk &gt;&gt; https://t.co/zG22JEku1E https://t.co/eIoTWpHvQz'"
86,pemuda yang greget ðŸ˜¡,b'Ni di linked diliat liat yang baru jadi engineer di traveloka kebanyakan graduate dari mbkm di traveloka juga yah'
87,sarah,"b'@txtfromadrian @collegemenfess Apalagi sekarang tawaran magang tuh banyak, ada dimana-mana. Termasuk MBKM punya Kem\xe2\x80\xa6 https://t.co/gFRtSrJYyZ'"
88,cips ahoyy,"b'@rkitve @collegemenfess Hai kk, aku sendernya. Btw aku yg 3 sks ikut kegiatan MBKM\xf0\x9f\x98\x8a'"
89,mimi,"b'@collegemenfess bismillah semoga besok aku ga tipes jugaa, kuliah 26 sks kek ya ampun berasa tolol kenapa pede bang\xe2\x80\xa6 https://t.co/Fle2CK486T'"
90,Txtdariugm,b'RT @bemkm_ugm: [MERDEKA BELAJAR: DISORIENTASI TATANAN KEHIDUPAN MAHASISWA SEBAGAI INTELEKTUAL MUDA]\n\nHalo Gadjah Mada dan Nusantara!\nHadirn\xe2\x80\xa6'
91,manusia bumi â›„,b'@UNSfess_ di prodiku kemarin dijelasin kalau thn ini nyoba praktekin mbkm. tp kerja praktik tetep jalann. soalnya k\xe2\x80\xa6 https://t.co/tnAZx55CTv'
92,Fikom Universitas Gunadarma,"b'Seperti yang kita ketahui hingga saat ini beberapa program #MBKM yang telah diikuti oleh #Fikomers, antara lain\xe2\x80\xa6 https://t.co/qY5K6SsGqj'"
93,Fikom Universitas Gunadarma,b'Kegiatan ini dihadiri oleh peserta MBKM tahun 2021 yang membagikan pengalaman atas partispasi dalam program MBKM ke\xe2\x80\xa6 https://t.co/8uNCplpk2M'
94,nila.,b'@keluhanrt04 Kakk abimm ketua mbkm cihuyy\xf0\x9f\x98\x8d'
95,Fikom Universitas Gunadarma,"b'[SHARING SESSION PESERTA MBKM 2021 FAKULTAS ILMU KOMUNIKASI UNIVERSITAS GUNADARMA]\n\nPada 10 Januari 2022, Fakultas\xe2\x80\xa6 https://t.co/ChkF1uTU3R'"
96,COLLE,"b'[cm] di sistem kampus sender ada penyetaraan sks mbkm gitu, nah ternyata sender udah mentok 160 sks, masih ada sisa\xe2\x80\xa6 https://t.co/hISstU7kUR'"
97,CEK PINNED YGY | UNS MENFESS,b'-11fess guys misal kita semester 5/6 kemarij udh magang tapi mau ikut mbkm yg magang di semester 7/8 boleh gk si'
98,COLLE,b'[cm] aku kan ikut MBKM yg pertukaran pelajaran udah 2x ini. Nah kan setiap ikut pp dapet Loa. Nah kalo kita ngumpul\xe2\x80\xa6 https://t.co/COvCHrEVEz'
99,Nathania Putri,"b'@neinsens Setuju sof, aq sejauh ini suka mbkm'"
100,raa.,b'@opy0u pake mbkm dr smt 5 dah pada kteteran di prodiku:('
101,åæŽ¢åµ,b'@UGM_FESS Kusaranin ikut mbkm nder sem depan'
102,mau lagu lo rilis di spotify gratis? cek pinned,b'emang udah struktural kayaknya. kemaren pas keterima magang MBKM (program Kemendikbud) tes kebhinekaannya aja ada p\xe2\x80\xa6 https://t.co/2dgzuFGc5O'
103,Master Pemburu,b'@madagasikara_ @ubsansfess @infoUB @UB_Official @mahasiswamlg Terakhir mlebu runu thn 2020 dan ada beberapa lampu y\xe2\x80\xa6 https://t.co/5cIvJ8qt2p'
104,Deyaaa,"b'@convomf Ada, dan ada yang di lakuin online juga. Kaya permatasari, dan mbkm lainnya'"
105,Calon ST bukan Es Teh,"b'Knp anak mbkm pada rajin beut dah, kitanya yg gelagapan woi'"
106,Maharani,"b'@audhinafh ini exchange program selama 1 semester Dhin, untuk mahasiswa pesertanya bakal dapet full tuition+courses\xe2\x80\xa6 https://t.co/BsT7qt5Hqu'"
107,ãã‚‰ãª(â—•á´—â—•âœ¿),"b'Minta koreksi ke siapa ya, mosok dosen mbkm \xf0\x9f\x98\xad'"
108,nad,b'@rawfckworld ya Allah iya ya lu mbkm GUE LUPA MULUUU'
109,yalqa - follback ceffat,"b'aku lagi mbkm trus kena di aceh selatan, tiap maljum disini ada lelang santunan anak yatim..\n\ndaerah kalian ada?'"
110,Dai,b'RT @s4c_blkb: Kesempatan #MagangBersertifikat sambil melihat penyu terbesar di dunia! Kesempatan terbuka untuk mahasiswa dan lulusan D3&amp;S1\xe2\x80\xa6'
111,ðŸ•,"b'@UPIfess aku nder wkwk sampe sem 6 pun ga join, karena pas ospek jurusan udh ngerasa toxic sama org org nya, so men\xe2\x80\xa6 https://t.co/3JIR42uwfi'"
112,Piaâ· #minmarchðŸŠ,b'@jjkmuggle Gak perlu mbkm dia apalagi kkn \xf0\x9f\x98\xad'
113,UNS Official,"b'Sobat Semar, pada Rabu (2/3/2022) lalu Universitas Sebelas Maret (UNS) Surakarta resmi menarik mahasiswa yang mengi\xe2\x80\xa6 https://t.co/3i3tg6R4yj'"
114,BEM KM UGM,b'Bagaimana tanggapanmu mengenai kebijakan MBKM?\n#NeoliberalisasiPendidikanOlehNegara\n#Evaluasi10TahunUUDikti\n\n______\xe2\x80\xa6 https://t.co/yvzBUtX2ox'
115,BEM KM UGM,"b'Namun, disisi lain kegiatan MBKM menimbulkan disorientasi tujuan awal pendidikan tinggi, mulanya kampus merupakan t\xe2\x80\xa6 https://t.co/PkQDNyJq5x'"
116,BEM KM UGM,b'[MERDEKA BELAJAR: DISORIENTASI TATANAN KEHIDUPAN MAHASISWA SEBAGAI INTELEKTUAL MUDA]\n\nHalo Gadjah Mada dan Nusantar\xe2\x80\xa6 https://t.co/LZ9NdoEX7m'
117,epaa,"b'@opy0u Iya dia anak vokasi jdi cari tempat sendiri katanya pusing bgt, untung aku jga mbkm di tempat rekanan kampus'"
118,Sains untuk Konservasi,b'Kesempatan #MagangBersertifikat sambil melihat penyu terbesar di dunia! Kesempatan terbuka untuk mahasiswa dan lulu\xe2\x80\xa6 https://t.co/n4ta2AH6Lp'
119,TOGOG,"b'Kegiatan kuliah kerja nyata,sebagai proyek sosial untuk membantu masyarakat di pedesaan atau daerah terpencil dalam\xe2\x80\xa6 https://t.co/b9PWQfyAjL'"
120,penghuni baru,b'@hobikebogor @pokomewmew @memefess Atm gue 6k/bulan \xf0\x9f\x98\xad\xe2\x9c\x8b\nWajib bikin buat keperluan MBKM'
121,COLLE,"b'bikin video, aku uda bikin videonya, ternyata suru buat lagi pdhl waktu itu program mbkm ku di plosok2 jadi susah s\xe2\x80\xa6 https://t.co/uVoeUuAOvo'"
122,COLLE,"b'Mau cerita jadi aku gabung di salah satu ukm, nah seleksinya panjang bngt tahapannya tapi beruntungnya aku keterima\xe2\x80\xa6 https://t.co/hKcaj29gMX'"
123,UGM FESS (CEK RULES!),b'mau nanya dong bisa gasih ikut program mbkm dua kali di dua semester yang berbeda makasik ugm_fess'
124,azi | this dude cant sleep properly ðŸ˜”,b'@justhopekind Anak mbkm di fapet dari un*d bali :('
125,â€¢ã……â€¢`sha nia,"b'Praying this semester I can be produktif, bener bener produktif plis semester depan harus bisa ikut MBKM\xf0\x9f\x98\xa9'"
126,JPNN.com,"b'#BeritaTerpopuler \nPuluhan Mahasiswa Unusa Lolos MBKM, Siap Terjun ke Dunia Kerja\n#MBKM\n#duniakerja\n#Unusa\nhttps://t.co/5C5ZbsjqlR'"
127,tya,b'Belum isi logbook samsekkk yg dari kampus sama mbkm aishhhh'
128,dek,b'pengen ikut program MBKM tapi masih smt duaaa \xe2\x98\xb9\xef\xb8\x8f'
129,ðŸŒ‡ðŸŒ‡,b'bola bali mbkm\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0'
130,BEM FMIPA UI,b'Survei ini diadakan dengan harapan menampung aspirasi serta keluhan yang dialami IKM FMIPA UI terkait MBKM. Survei\xe2\x80\xa6 https://t.co/MBVXfZF4qr'
131,BEM FMIPA UI,"b'HARI INI PENUTUPAN SURVEI PENJARINGAN ASPIRASI MENGENAI MBKM\n\nHalo, IKM FMIPA UI!\n\nMerdeka Belajar Kampus Merdeka h\xe2\x80\xa6 https://t.co/YR9xn5aiaa'"
132,sa.,"b'@SatyaDewastraBW Info ppt mbkm, aku afk soale selama php2d\xe2\x80\xa6'"
133,lifâ€¢á´—â€¢ HAECHAN OST,"b""@tanyakanrl ngl pas mbkm/lowongan magang biasa pun suka dicantumin 'univ terkenal only' jiakh"""
134,emboen,b'@jihannnr1 lho sidane mbkm?'
135,Budiman Sudjatmiko (IG: masbud_sudjatmiko),b'RT @ArthurRiyan: Setuju... namun tdk dengan mengarahkan S1 Magang di perusahaan dg penempatan sbg tenaga kerja teknis (salah satu program M\xe2\x80\xa6'
136,Riyan Arthur,b'Setuju... namun tdk dengan mengarahkan S1 Magang di perusahaan dg penempatan sbg tenaga kerja teknis (salah satu pr\xe2\x80\xa6 https://t.co/vY6EJDjS0w'
137,safira,b'ni mbkm jadi gaseru banget grgr pemilik rumahnya sensian'
138,MAZDAT,"b'@yasawirama Nya kan ai abdi mah ngarefer nu kaalaman ku abdi pak. \xf0\x9f\x98\x85\n\nDan MBKM tidak seindah itu pada praktiknya, be\xe2\x80\xa6 https://t.co/QAIMHLuTkP'"
139,dam,"b'@justhopekind Kayanya kl baca caption, nyinggung anak mbkm dari univ ud*yana yg di fap*t'"
140,Inal1485_cy,b'Day-1 \nKAMPUS MENGAJAR 3\nSemester 6 ini aku mengikuti program MBKM Kampus Merdeka yaitu program kampus mengajar. Di\xe2\x80\xa6 https://t.co/W8jquSZPYB'
141,Demi 10kg & 10cm,"b'Pingin ganti atm BSI, tapi MBKM kudu pake BRI... Jadi keknya bakal ganti ke BRI :)\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'"
142,aku rest dulu ya,"b'GILA, AKU DICERITAIN DOSEN TENTANG KATING YANG BERPRESTASI BANGET, JUARA INTER, KETERIMA MAGANG  MBKM JEPANG, DAN S\xe2\x80\xa6 https://t.co/eJ92B3Qgg3'"
143,blurrylyfe,"b'@lilachocoberry @FairuzZuyyina @collegemenfess Matkul MBKM sii, sebenernya cuma wajibnya 22sks, karena sisa 2sks da\xe2\x80\xa6 https://t.co/s7PnSY3Cwd'"
144,en,"b'bakal disatuin aja kelasnya sama kelas siang (kelasku) kalo pada mau. tp ternyata yg kelas pagi, siang ada jadwal.\xe2\x80\xa6 https://t.co/DKB6wE1U4G'"
145,en,b'mau cerita lika liku jadwal matkul yg hampir tabrakan.\nhari rabu ada ekomet jam 10-12. tbtb matkul mbkm yg senin pa\xe2\x80\xa6 https://t.co/G1NEq4vike'
146,ë¼ë¼â˜˜ï¸,"b'Sedih kl liat footage iisma, pengen daftar tp udah nyampe limit mbkm. POKOKNYA S2 MAU DI LN!!!!!! aamiin\xf0\x9f\x98\xad'"
147,siskaforum,b'Pastikan kamu turut menjadi bagian dari program pengembangan SDM SISKA ini! \n\nTunggu apalagi?\nSegera daftarkan diri\xe2\x80\xa6 https://t.co/7mFKgjBvMG'
148,siskaforum,b'[PENDAFTARAN MBKM SISKA DIPERPANJANG!] \n\nKarena banyaknya antusiasme multipihak terkait adanya Program Pengembangan\xe2\x80\xa6 https://t.co/uREIKckfNM'
149,andv,b'@ishhauah @collegemenfess Pas semester 6 aku ikut kampus mengajar dan kuliahnya sks full 24. Jadi pulang ngajar aku\xe2\x80\xa6 https://t.co/lJbTSSAuo9'
150,miss independen,b'Kalo gak ikut program MBKM kayaknya nggak pernah tu ngrasain potongan UKT \xf0\x9f\x98\x89 https://t.co/MICkghBXDk'
151,x,"b'@um_fess Ribettt nder, temenku anak sipil akhirnya mengurungkan niat ikut MBKM kwkwwk, tapi gatau juga si kalo prod\xe2\x80\xa6 https://t.co/2W8GXTbBaS'"
152,HIMAGI Unsoed,b'PMW diwujudkan sebagai komitmen Unsoed dalam menyelenggarakan pembelajaran yang menerapkan Merdeka Belajar Kampus M\xe2\x80\xa6 https://t.co/AsNLIEo9Wm'
153,Awol,b'Pusing banget gue aaaakh mbkm banyak banget tugasnya dah kek orang kerja'
154,ON l UNSOEDFESS l Cek Pinned,b'jends bikin laporan setelah magang mbkm susah ga si?'
155,LPM Pabelan,"b'[Pabelan Online]\n\nUMS Turut Serta dalam MBKM, Tiap Fakultas Terapkan Kebijakan yang Berbeda\n\nReporter         : Jan\xe2\x80\xa6 https://t.co/39nuzkqIvz'"
156,pledoi,"b'@alinoatelier @UGM_FESS Ooo ternyata anak unudd, tapi mbkm ke ugm. Makanya yang ngepos bem unud'"
157,Malik x TWD,b'@UGM_FESS Meskipun mbkm tapi nnti malah ngancurin fapet\xf0\x9f\x98\xb1'
158,Salsabila,b'@ayudpd Semangar laporan mbkm nya yuksss'
159,Hongwon's Ring,b'@UGM_FESS Astaga anak mbkm \xf0\x9f\xa4\xae'
160,Psy_Chopass,b'@collegemenfess 6 sks\n\nKlo mbkm 20 sks'
