no,username,komentar
1155,mbkm_official,Salam Nuzul Al-Quran kepada muslimin dan muslimat. https://t.co/x82m0MLbHl
1156,ubsansfess,braw! disini ada yg perna daftar mbkm dan ngerjain survey kebhinekaan ngga? kalo ada sender mau tanya2 makasiiðŸ¤ðŸ¤
1157,SriNurulAminah,@collegemenfess Ikut program MBKM
1158,jkmyshine97,"@convomf Ikut program mbkm kaya kampus mengajar, pertukaran mahasiswa, magang, dll"
1159,hnsfh,@qistinayo @mbkm_official @EHNathasia haaa ayuh arrr
1160,PIBUnpad,"Hampers lebaran karya 9 mhs MBKM , binaan OoRange Unpad, produk berasal dari Civitas Unpad. 

Pemesanan melalui linâ€¦ https://t.co/VD4RLIK8zW"
1161,cimorrriii,"@IISMAfess gaperlu bljr klo saran dri katingku yg prnh ikut survey ini utk mbkm lain, karena ini kan lebih ke surveâ€¦ https://t.co/JHLQlsGlwp"
1162,_questionabs,@wisnuwardaana_ Yg mbkm???
1163,shaaiapouf,"@yasfdany waw iya bener banget ini, kating ku interview mbkm juga disuruh begitu ðŸ˜­"
1164,nmgxyz,@MahasiswaUMS aku magang mbkm dikonversi 20 sks tapi ketentuan tiap prodi dan univ beda si
1165,ArdhaniTika,"Bismillah, guys DET READY PREMIUM, files preparation DET langsung DM aja yahhh!!!
Termurah pokoknyaa buat IISMAVO 2â€¦ https://t.co/2GuuyOjfjl"
1166,farizseptian_,@um_fess Aku smt depan kemungkinan ga ikut kkn soalnya udah konversi di mbkm nya
1167,caakilee,@CNNIndonesia setengah tahun harta melonjak krn mbkm aja dh bersyukur @racethoooooo
1168,kuelidahkucingg,"@um_fess Masih ada nder, aku semester kemaren ikut mbkm trs dikonversi ke kkn"
1169,PlastikKaret,"Minggu ini adalah kedelapan dari pelaksanaan Studi Independen Zenius, Course yang saya ambil di MBKM Zenius kali inâ€¦ https://t.co/9LIJhhQSq3"
1170,republikaonline,Program magang bersertifikat ini merupakan bagian program MBKM dalam bentuk magang. https://t.co/9JDEeatcmX
1171,um_fess,"um! libur kuliah dari kapan sampe kapan yo rek?
sorry efek fokus di mbkm trus nihh:(( suwunn"
1172,univ_jember,Program MBKM tersebut dapat menjadi simulasi awal bagi mahasiswa sebelum memasuki dunia kerja dan dunia usaha.â€¦ https://t.co/pnnyVLBbMD
1173,asahi1920,@collegemenfess smt 3 sama smt 5 berat bagiku nder kalo smt 3 karena udah ga paketan kalo smt 5 hectic banget grgr mbkm
1174,annrline,@Unsoedfess1963 Maksudny kkn reguler tp konversi ke mbkm? Apa gmn nder?
1175,thesunsetblvds,"@Unsoedfess1963 Yg nanya2 mbkm konversi kkn tar dlu dah ye, bisa ditanyakan ke jurusan masing2 aja, kasian yg emg kâ€¦ https://t.co/J5Gp6eYhPR"
1176,Unsoedfess1963,Jends emg mbkm semester depan kkn udh gabisa dikonversi?
1177,lpmperspektif,"[IN-DEPTH]

Karut-Marut MBKM Tanah Jingga

Baca selengkapnya di https://t.co/79lZLYDK69 https://t.co/YDD1r0lkPW"
1178,elmoyaaa,@Unsoedfess1963 Aku magang mbkm bisa konversi kkn sih
1179,gloomyca,"@Unsoedfess1963 sekalian aja kkn mbkm nder, klo ada"
1180,ewzka,@azureunha mbkm og
1181,fananiunair,"Menjadi narasumber lokakarya penyusunan kurikulum MBKM Universitas Cenderawasih Papua, Salasa-Rabu, 19-20 April 2022 https://t.co/7Alowl2g4a"
1182,0105lia,"@MahasiswaUMS ikut mbkm aja, ntar dikonversi"
1183,srotojogja,"@ffiiiiiiiiiiii kkn lah, mbkm kerja rodi 4 bulan gaji 400rb di akhir, itu 4 bulan lu jd budak pengeluaran 2 juta aja masih ga nutup"
1184,okidookiooo,"@oblivitatee Saranku ambil magang merdeka aja nop. Kurang tau sih ya di fakultasmu gimana, tapi kalo di fakultaskuâ€¦ https://t.co/24MztPksla"
1185,min_yoonsaa,"Bingung bgt daftar kkn atau tunggu mbkm dlu ya, mslhnya klo emg ketentuan terbaru mbkm nnt kkn gabisa dikonversi mbâ€¦ https://t.co/RWtm5ZssfY"
1186,ffiiiiiiiiiiii,@Unsoedfess1963 Ngapain kkn kalo bisa mbkm
1187,sinergi_bna,Diskominfo Banda Aceh: Diskominfotik Sambut Kerjasama FMIPA USK Prodi Statistik Program MBKM https://t.co/CCMhFmqjy5
1188,TelUniversity,Mahasiswa Telkom University Jalani Program MBKM Penngembangan Laptop Merah Putih https://t.co/Y9DoqVZESf
1189,tyvocado,@collegemenfess Mbkm. Bisa konversi pkl sama kkn
1190,jhonvchik,@rzadityan @risharmdnt Cah mbkm meneng wae ðŸ–•
1191,geuleut,@collegemenfess Ikut mbkm tapi janji jangan nangis?
1192,kompasiana,"Ingin Tingkatkan Nilai Jual, Kelompok 98 KKNT-MBKM UPNVJT Lakukan Inovasi pada Keripik Pisang https://t.co/bBM1US4N5J"
1193,zzzwitterion,"magang blm selesai, masih ada sidang mbkm juga, ayah uda nyuru siapin judul skripsi HAHAHAHA nangis"
1194,stilettale,"@Jokitugsfess Aku anak EKIS nih, Beeeb. Mbkm di BSI jugaaa. Kalau mau nanya-nanya wa aja yaaa. Feel free. ðŸ¤—"
1195,lvciferslonely,RUN RUN ADA MBKM RUNðŸƒðŸƒðŸƒðŸƒðŸƒ https://t.co/GSkPRzBfSt
1196,unisma193,"10 #kampusterbaik di Jawa Timur versi #Kemendikbud

#unismamalang #mbkm https://t.co/muMWXhBZHY"
1197,xKurokami_,"@wmtw_99 @collegemenfess Tiap kampus beda2 setauku. Aku sempet nanya temen2ku dari kampus lain, ada yang sidang, adâ€¦ https://t.co/uauDYMjvUT"
1198,arjasungirl,@collegemenfess alhamdulillah karna lg mbkm jadi liburnya ngikut dari 29-8
1199,apalagise,"@Jvxcxwh ibu aku tuhh, pas itu ak blm ngirim berkas mbkm malah ibunya yg nyuruh cepet2 ngirim, udh telat pun masih diterima"
1200,thallasopile,"""kalian santai aja sama saya, udah berapa kali ketemu saya kan""

gw sebage anak mbkm yg baru kali ini diajar: ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­"
1201,alm0ndmilkzz,"masalahnya ini tu matkul mbkm jadi gakenal sama org"" nyaaaðŸ˜”ðŸ˜”mana aku ngambil matkul bk lagii so iye bgtttðŸ˜­ðŸ˜­ðŸ˜­"
1202,jjiancok,"blio sore tdi bakar ikan trs basa basi ""kamu ndak ikut mbkm itu ra?"" yh gw jawab hehehehehe engga om, abis tu gw pergi hehehe merindink"
1203,pleasejustmove,"Truly being fat and not attractive are sins in my family. Mau ngomong kerjaan lha gw nge asdos, mau ngomong prestasâ€¦ https://t.co/mYNEmpfxtH"
1204,unudmenfess,/imissu guys ada kah diantara kalian/teman kalian yang pernah/sedang ikut program kewirausahaan MBKM? mohon reply yâ€¦ https://t.co/C6oiCKejuJ
1205,Potaniii,Nda niat bikin.... Bede bah......... Bise bah dicari gejala tumbuhan ape segale.. Ya Allah nda gak mepet h-jam bukaâ€¦ https://t.co/UhgqNxM43R
1206,ayasatheee,@collegemenfess Di LinkedIn banyak nder.. atau klo masih smt 7 8 bisa coba ikut seleksi MBKM. Juni/Juli nanti udh mâ€¦ https://t.co/PTgbP4jlfy
1207,,"b'[askrl] aku ikut magang mbkm, tapi selalu dapet emailnya tuh cuma yang emang semua pendaftar dapet, terus paling is\xe2\x80\xa6 https://t.co/qEm4iVGNN4'"
1208,,b'Ez peazy bgt tmntmn q dpt mbkm yampun'
1209,,b'bismillah kampus aku kkn nya boleh dikonversi ke magang mbkm \xf0\x9f\x98\xad'
1210,,"b'Kejadian kocak hari ini : ditelpon mas"" hr indika via telp buat diwawancarain mbkm batch 2 terus gw lupa daftar dip\xe2\x80\xa6 https://t.co/UjC0gXpbto'"
1211,,"b'@diaaannn__ makasii, mbkm ituu'"
1212,,"b'Mahasiswa yg ikut magang MBKM uang saku telat ae wes ngomel"", apalagi ini d kurung, d suruh kerja, ga d gaji lagi https://t.co/lYDTLsT0Ft'"
1213,,b'ini mbkm ga ada yg mau nyantol 1 apa???? \xf0\x9f\x98\xad\xf0\x9f\x92\x94'
1214,,"b'kalo keterima intern di mbkm, fix aku out dari magang yang ini xixixi\xf0\x9f\x98\xad'"
1215,,b'Jadi mending mbkm apa ga'
1216,,b'Intinya anak 19 engga bisa konversi mbkm'
1217,,"b'To the point aja deh sebenernya angkatan ku ga bisa konversi mbkm intinya gituu kannn, penjelasan dosen 2 jam muter\xe2\x80\xa6 https://t.co/luqrj7L87V'"
1218,,b'Pusing mikirin mitra mbkm \xf0\x9f\x98\xa5'
1219,,"b'lhoo tmnku gaa jelas bgttt, aku ga ambil mbkm ub dia malah ikutan ga ambill padahal katanya pengen mbkm hmmmm mmnk matkul smt ini bahaya bgt'"
1220,,"b'HAHAHA spadadikti sampe skrg gabisa diisi fix ga tuker matkul mbkm, bye \xf0\x9f\x91\x8b'"
1221,,b'@Picney13 @ipb_menfess @phlanetblues HAH LU AMBIL APAAN ANJIR TURUN KE DESA? MBKM?'
1222,,b'[cm] aku besok ada fgd buat magang mbkm. ada yang mau share tips and tricks supaya lolos? terus fgd biasanya pake b\xe2\x80\xa6 https://t.co/BCfu9EXWAd'
1223,,b'Pencanangan Program MBKM Kemdikbud Ristek dan Pemkab Gowa Masuk Tahap\xc2\xa0Finalisasi https://t.co/puTggU6uSA'
1224,,"b""Gapaham lagi kalo interview besok masih ga keterima mbkm, maybe god just want me to finish my study as soon as possible :')"""
1225,,b'jends ikut kampus mbkm bikin lupa sama jurusan sendiri:('
1226,,b'@galyaxyzff @cattellpillar @literarybase Halo teman seprodi wkwk. Aku smt 6 yaa. Magang nya selama 16 minggu sesuai\xe2\x80\xa6 https://t.co/VUdsrEIB1q'
1227,,"b'SELAMAT BERTUGAS KEPADA MAHASISWA UNIVERSITAS NUSA MANDIRI\n\nHai, Generasi Mandiri..\n\nSelamat dan sukses kepada maha\xe2\x80\xa6 https://t.co/Suc1Y6lkBi'"
1228,,"b'@cattellpillar @literarybase Kurang tahu sih kak, tp kayaknya lebih diutamakan yg jurusan kepustakawanan/arsip gitu\xe2\x80\xa6 https://t.co/RRjkvrIDST'"
1229,,b'Finally...\nDip terimakasih sudah mau berjuang udh mau ngeluangin waktunya udh mau berkerja lebih keras dari yg ngur\xe2\x80\xa6 https://t.co/eeCDyjs01M'
1230,,"b'Agak betul sih, susah kalo matkul metopen di skip dan di convert sks nya sama mbkm, soalnya itu matkul krusial buat ngerjain skripsi nanti'"
1231,,b'#KampusMerdeka \n\nAplikasi ini dimaksudkan untuk penguatan implementasi kurikulum Kerangka Kualifikasi Nasional Indo\xe2\x80\xa6 https://t.co/ncENibceyn'
1232,,"b'@schcampus Kalo yg lain nilainya udah bagus, yg itu gausah ngulang gapapa sih nder\nAtau mulai smt 4 an nanti liat-l\xe2\x80\xa6 https://t.co/qoGeyeKyM6'"
1233,,b'jends anak bidikmisi kalo ikut magang mbkm tetep dapet insentif nggak sih?'
1234,,b'@UNYmfs Kemarin aku war matkul mbkm nder'
1235,,"b'@claudiaelizaps @collegemenfess bukan sender, tapi mungkin nerapinnya sama kayak prodiku. Ada beberapa matkul yg mm\xe2\x80\xa6 https://t.co/maFAtxLjM3'"
1236,,"b'Program MBKM, Desa di Gowa Jadi Pusat Penelitian Mahasiswa Indonesia https://t.co/lxkvyWPSUs'"
1237,,"b'@brightwin_fess aku matkul wajib cuma ada 11 sks, 13 sisanya suruh ambil mbkm random tapi isinya MATEMATIKA KIMIA T\xe2\x80\xa6 https://t.co/gXZRxJJ2DU'"
1238,,b'-ness plus minus ikut program mbkm yg transfer kredit'
1239,,"b'@UNYmfs War matkul mbkm luar prodi nderr, mantengin siakad sampe cape\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbb'"
1240,,"b'Kakak2 yg prnh atau sdng mengikuti program merdeka belajar, dr 8 jenis kegiatan mbkm lebih bagus ikut yg mana ya? Tia \xf0\x9f\x99\x8f [cm]'"
1241,,b'@UNYmfs War nya kalo disuruh ambil mbkm luar prodi nder :('
1242,,b'!upi kalau mau ikut kelas MBKM prodi dalam upi tuh harus daftar dulu ya? atau langsung pas IRS-an aja?'
1243,,b'Tahun Ini Program MBKM Targetkan Keterlibatan 150 Ribu Mahasiswa https://t.co/tqvkIBMPS4'
1244,,b'ni mbkm emg problematik deh keknya'
1245,,"b'[Hindari Kekakuan Otot Sewaktu Kerja, Mahasiswa MBKM UNDIP Lakukan Sosialisasi Di Tempat Magang]\n\nHalo FKM!\nPeregan\xe2\x80\xa6 https://t.co/rLECBwxSf5'"
1246,,b'-upnsby yg smt 6 kalian berencana ikut kkn mbkm kahh?'
1247,,b'RT @ppn_prigi: Penandatanganan MOU antara PPN Prigi dg UGM terkait program MBKM (Merdeka Belajar Kampus Merdeka). Pada kesempatan ini 15 Do\xe2\x80\xa6'
1248,,b'Tiap denger kabar tentang mbkm kok selalu kabar nggak enak sih.'
1249,,"b'Sumpah website mbkm gajetot bgt anjrit, masa penilaian sejawat gue jadi 0'"
1250,,b'Program MBKM Kemendikbud-Pemkab Gowa Masuk Tahap Finalisasi\xc2\xa0 https://t.co/UNyZe16P6N'
1251,,b'RT @UNYmfs: /uny guys ada yg ambil mbkm ketahanan keluarga gak?'
1252,,b'/uny guys ada yg ambil mbkm ketahanan keluarga gak?'
1253,,b'maaf anda masih di bawah umur untuk ikut mbkm'
1254,,"b'Canangkan  MBKM, Kemdikbud Ristek dan Pemkab Gowa Sinergikan Empat Sektor https://t.co/PFwdjWX0ss'"
1255,,"b'RT @undipmenfess: -dips! dpt info dari dosen, ada satu somasi dari mitra magang program MBKM karena mhsw Undip mangkir selama 3 minggu. Inf\xe2\x80\xa6'"
1256,,"b'@ kaprodi, ayo semangat ibu membujuk dosen-dosen SPA1, biar MBKM sy bisa di konversi kesitu HWHWHWHW'"
1257,,"b'Mantapkan Pemahaman Program, Tim MBKM dan PD Dikti Sosialisasikan Teknis MBKM ke\xc2\xa0Unud https://t.co/8pZIU8cXV7'"
1258,,"b'-dips! dpt info dari dosen, ada satu somasi dari mitra magang program MBKM karena mhsw Undip mangkir selama 3 mingg\xe2\x80\xa6 https://t.co/bh6r0HJfz7'"
1259,,b'Mbkm magang gw ko blm ada notip yak:('
1260,,b'Pencanangan Program MBKM Kemdikbud Ristek dan Pemkab Gowa Masuk Tahap\xc2\xa0Finalisasi https://t.co/pzEEdFleDq'
1261,,"b'Memajukan SDM, Pemkab Badung Siap Dukung\xc2\xa0MBKM https://t.co/52CgL07U8i'"
1262,,b'Program peningkatan kualitas SDM tsb melalui tranformasi pendidikan tinggi lewat program Merdeka Belajar Kampus Mer\xe2\x80\xa6 https://t.co/e8fkZ5jzmU'
1263,,b'wkwkw tadi malem ngimpi nilai matkul MBKM udah keluar di SIX. Bangun pagi langsung reflek buka SIX'
1264,,b'@xdjlyy mine magang lo mbkm atau mandiri?'
1265,,b'nangisss gua dapet panggilan magang dari mbkm tapi terlanjur ambil program km. KENAPA PANGGILANNYA GA DARI KEMAREN2 AJEEEE'
1266,,b'Mari hadiri Webinar Nasional *\xe2\x80\x9cOptimisme SEAMEO Centers Indonesia di Tengah Pandemi COVID-19 dalam Mendukung Keberl\xe2\x80\xa6 https://t.co/GnrDJVXM5R'
1267,,"b'SELAMAT BERTUGAS KEPADA MAHASISWA UNIVERSITAS NUSA MANDIRI\n\nHai, Generasi Mandiri..\n\nSelamat dan sukses kepada maha\xe2\x80\xa6 https://t.co/oMq4AJ7saS'"
1268,,b'Pencanangan Program MBKM Kemdikbud Ristek dan Pemkab Gowa Masuk Tahap Finalisasi - https://t.co/fz96LhzYRd https://t.co/JDAIeIwgRD'
1269,,b'[cm] guys yang daftar mbkm tanihub udah pengumuman belum? atau sampe tahap apa'
1270,,b'@seagull_kookoo @iniciaaaaa @collegemenfess Mjb. Btw ikut kampus merdeka tuu bisa daftar sendiri gk kak?.\nMaksudnya\xe2\x80\xa6 https://t.co/99rJRcFeeX'
1271,,"b'@collegemenfess MBKM magang sih nder, itu benefitnya gede menurutku. Sama ini sih, kalau kamu masih muda gini, mend\xe2\x80\xa6 https://t.co/cQayvWCd5c'"
1272,,"b""@Miyodesuu Mbkm itu si coy, tapi ya ntar kek kkn tapi versi lebih lama :'D"""
1273,,"b'[cm] ternyata ga ada temen di kelas tuh bener"" jd pengaruh kita kuliah ya. temenku lolos program mbkm, sedangkan ak\xe2\x80\xa6 https://t.co/Q0jQescklB'"
1274,,"b'klo dipikir2 keren bgt aku sanggup kuliah, pkl, mbkm, kmmi, dan ngurus 5 kepanitiaan di smt ini!\xf0\x9f\xa5\xb3 dgn tentunya lapr\xe2\x80\xa6 https://t.co/0YgELz3WU9'"
1275,,b'[cm] guys kalo dapet mbkm trus bisa dikonversi sksnya masih harus krsan ga sih?'
1276,,"b'After long journey, dikira jalan-jalan padahal jobseeker (doa ke Bogor terkabul) dan pas nemu tempat malah ada some\xe2\x80\xa6 https://t.co/bx7qtOVKPm'"
1277,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1278,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1279,,b'@HorridUrinary Semakin overthinking karena mbkm\xf0\x9f\x98\xb5'
1280,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1281,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1282,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1283,,b'[cm] Ada anak fkip pendidikan yg ikut program mbkm selain kampus mengajar? Kalian ikut program apa dan apply dimana\xe2\x80\xa6 https://t.co/XN7jfZox1W'
1284,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1285,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1286,,b'[cm] disini ada yg daftar magang mbkm di blibli gak? udah ada pemberitahuan interview atau belum? tia'
1287,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1288,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1289,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1290,,b'@Onewraffe @collegemenfess Kamu mbkm ikut apa nder?'
1291,,"b""logbook magang MBKM diisi sehari 1,\nlogbook KKN mesti diisi per jam kegiatannya wkwkw jd jangan nunda ngisi bgt dah _( :'3rz)_"""
1292,,"b'@collegemenfess Akuu selain skripsi di labb, aku jg habis kelar mbkm batch 1 trs mau lanjut mbkm batch 2 niee. Lg d\xe2\x80\xa6 https://t.co/K12Oh7ELYD'"
1293,,b'@collegemenfess klo mnurutku bilang aja nder kalo km punya timelinemu sendiri untuk menjalani kuliah reguler. dan b\xe2\x80\xa6 https://t.co/rxSL48xNlD'
1294,,b'@collegemenfess ikut mbkm tu langsung lolos atau ada tes nya?'
1295,,b'Ugm_fess ada yang daftar magang MBKM bpom kah?'
1296,,"b'@collegemenfess Kayaknya sekarang mbkm lagi wajib-wajibnya karena memengaruhi akreditasi deh, makanya gitu\nDikampus\xe2\x80\xa6 https://t.co/RxHgh9v6Fe'"
1297,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1298,,b'[cm] GIMANA CARANYA NOLAK PAKSAAN IKUT MBKM DARI DOSBING?? \xf0\x9f\x98\xa9 https://t.co/EBX0DVpSIb'
1299,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1300,,b'@sangrindra Mbkm yg kemendikbud bukan?'
1301,,"b'Tahun lalu gak lolos MBKM gara"" kesalahan admin, eh sekarang giliran iseng doang malah lolos:( padal tahun ini udah\xe2\x80\xa6 https://t.co/Z1p4hqV9Kd'"
1302,,b'@whtisur kapan lu ganti laptop cuy pake tu duit mbkm HAHAHAHAHA'
1303,,b'Iri banget sama yang ikut mbkm cuma disupport sama jurusannya kayak wow???\n\nJurusan kalian apa ga kepikiran ngeribe\xe2\x80\xa6 https://t.co/rXFc6D8yXf'
1304,,b'Mbkm ga buka magang di psi ya'
1305,,"b'@collegemenfess Program mbkm, pmmb, free premium wps gratis (pakai email kampus), free premium canva gratis (pakai\xe2\x80\xa6 https://t.co/QtWrI3cCCC'"
1306,,b'Ikut mbkm nggak ya\n\nADUH BINGUNGGG'
1307,,b'RT @seameorecfon: Mari hadiri Webinar Nasional \xe2\x80\x9cOptimisme SEAMEO Centers Indonesia di Tengah Pandemi COVID-19 dalam Mendukung Keberlangsung\xe2\x80\xa6'
1308,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1309,,b'magang mbkm hybrid \n\npening banget denger 3 kata ini mulu'
1310,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1311,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1312,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1313,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1314,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1315,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1316,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1317,,"b'@pseudocrescent @UNSfess_ Hooh, masih ngalor ngidul kalok masalah konversi mbkm \xf0\x9f\xa5\xb2'"
1318,,b'MBKM KONTOL'
1319,,"b'[cm] Saran dong, aku lagi skripsian otw smt 8 kdg bosen nunggu balasan dospem, pengen ikut kegiatan lain ky mbkm gi\xe2\x80\xa6 https://t.co/idsBFDisGo'"
1320,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1321,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1322,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1323,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1324,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1325,,b'@collegemenfess Tergantung programnya setauku. Soalnya pernah ikut program MBKM di kampus lain dan pesertanya ada yang semester 1'
1326,,b'[cm] sebenernya mbkm itu untuk semester berapa ya? aku semester 2 tapi kok udah disuru ya?'
1327,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
1328,,"b'Ya Allah malah turun pulak nilainya di mbkm, gakuat anjir nangis'"
1329,,b'bisa bisanya masuknya ke spam nih email mbkm'
1330,,"b'Sakit hati banget liat nilai di mbkm kok ga nyampe 8, se tim nilai aku doang yang paling kecil, mana itu juga terma\xe2\x80\xa6 https://t.co/DTHjb8zK8E'"
1331,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
